  勃利 154500 黑龙江,七台河,勃利 45.755063 130.592171 101051003    
  鸡西 158100 黑龙江,鸡西,鸡西 45.295075 130.969333 101051101    
  虎林 158400 黑龙江,鸡西,虎林 45.762686 132.937210 101051102    
  密山 158300 黑龙江,鸡西,密山 45.529775 131.846636 101051103    
  鸡东 158200 黑龙江,鸡西,鸡东 45.260412 131.124080 101051104    
  鹤岗 154100 黑龙江,鹤岗,鹤岗 47.349916 130.297964 101051201    
  绥滨 156200 黑龙江,鹤岗,绥滨 47.289116 131.852759 101051202    
  萝北 154200 黑龙江,鹤岗,萝北 47.577495 130.828626 101051203    
  双鸭山 155100 黑龙江,双鸭山,双鸭山 46.646509 131.159133 101051301    
  集贤 155900 黑龙江,双鸭山,集贤 46.728377 131.140483 101051302    
  宝清 155600 黑龙江,双鸭山,宝清 46.326925 132.197243 101051303    
  饶河 155700 黑龙江,双鸭山,饶河 46.798164 134.013872 101051304    
  友谊 155800 黑龙江,双鸭山,友谊 46.767299 131.808064 101051305    
  长春 130000 吉林,长春,长春 43.817072 125.323544 101060101    
  农安 130200 吉林,长春,农安 44.432889 125.184742 101060102    
  德惠 130300 吉林,长春,德惠 44.537346 125.705502 101060103    
  九台 130500 吉林,长春,九台 44.151742 125.839574 101060104    
  榆树 130400 吉林,长春,榆树 44.840288 126.533146 101060105    
  双阳 130600 吉林,长春,双阳 43.525311 125.664662 101060106    
  吉林 132000 吉林,吉林,吉林 43.837883 126.549572 101060201    
  舒兰 132600 吉林,吉林,舒兰 44.406254 126.965922 101060202    
  永吉 132200 吉林,吉林,永吉 43.671840 126.498304 101060203    
  蛟河 132500 吉林,吉林,蛟河 43.723713 127.344501 101060204    
  磐石 132300 吉林,吉林,磐石 42.946285 126.060427 101060205    
  桦甸 132400 吉林,吉林,桦甸 42.972097 126.746310 101060206    
  延吉 133000 吉林,延边,延吉 42.906959 129.513914 101060301    
  敦化 133700 吉林,延边,敦化 43.372413 128.232013 101060302    
  安图 133600 吉林,延边,安图 43.112593 128.897929 101060303    
  汪清 133200 吉林,延边,汪清 43.312522 129.771607 101060304    
  和龙 133500 吉林,延边,和龙 42.546675 129.010106 101060305    
  龙井 133400 吉林,延边,龙井 42.766311 129.427060 101060307    
  珲春 133300 吉林,延边,珲春 42.862821 130.366036 101060308    
  图们 133100 吉林,延边,图们 42.968044 129.843710 101060309    
  四平 136000 吉林,四平,四平 43.166420 124.350398 101060401    
  双辽 136400 吉林,四平,双辽 43.518302 123.502724 101060402    
  梨树 158160 吉林,四平,梨树 43.307060 124.335390 101060403    
  公主岭 136100 吉林,四平,公主岭 43.504687 124.822830 101060404    
  伊通  吉林,四平,伊通 43.345754 125.305394 101060405    
  通化 134000 吉林,通化,通化 41.728401 125.939697 101060501    
  梅河口 135000 吉林,通化,梅河口 42.530341 125.683832 101060502    
  柳河 135300 吉林,通化,柳河 42.288900 125.764854 101060503    
  辉南 135100 吉林,通化,辉南 42.684923 126.046787 101060504    
  集安 134200 吉林,通化,集安 41.125307 126.194031 101060505    
  通化县 134100 吉林,通化,通化县 41.679318 125.759357 101060506    
  白城 137000 吉林,白城,白城 45.619641 122.839024 101060601    
  洮南 137100 吉林,白城,洮南 45.335961 122.786735 101060602    
  大安 131300 吉林,白城,大安 45.506900 124.292620 101060603    
  镇赉 137300 吉林,白城,镇赉 45.858417 123.194756 101060604    
  通榆 137200 吉林,白城,通榆 44.813014 123.088437 101060605    
  辽源 136200 吉林,辽源,辽源 42.887918 125.143532 101060701    
  东丰 136300 吉林,辽源,东丰 42.677157 125.531105 101060702    
  东辽 136600 吉林,辽源,东辽 42.926379 124.991458 101060703    
  松原 138000 吉林,松原,松原 45.108977 124.816812 101060801    
  乾安 131400 吉林,松原,乾安 45.004848 124.028017 101060802    
  前郭  吉林,松原,前郭 45.089833 124.887790 101060803    
  长岭 131500 吉林,松原,长岭 44.275288 123.967459 101060804    
  扶余 131200 吉林,松原,扶余 44.987481 126.024736 101060805    
  白山  吉林,白山,白山 41.939994 126.423587 101060901    
  靖宇 135200 吉林,白山,靖宇 42.388798 126.813599 101060902    
