areaid	FORECAST_TIME	day_rehumidity	night_rehumidity
101050705	2015-06-20 19:00:00	33	71
101050705	2015-06-21 19:00:00	56	90
101050705	2015-06-22 19:00:00	53	89
101050705	2015-06-23 19:00:00	55	87
101050705	2015-06-24 19:00:00	51	78
101050705	2015-06-25 19:00:00	53	89
101050705	2015-06-26 19:00:00	48	84
101050705	2015-06-27 19:00:00	49	82
101050705	2015-06-28 19:00:00	56	85
101271604	2015-06-19 19:00:00	82	89
101271604	2015-06-20 19:00:00	76	90
101271604	2015-06-21 19:00:00	77	88
101271604	2015-06-22 19:00:00	73	86
101271604	2015-06-23 19:00:00	69	83
101271604	2015-06-24 19:00:00	70	88
101271604	2015-06-25 19:00:00	76	87
101271604	2015-06-26 19:00:00	76	91
101271604	2015-06-27 19:00:00	78	89
101271604	2015-06-28 19:00:00	76	88
101201109	2015-06-19 19:00:00	59	85
101201109	2015-06-20 19:00:00	84	97
101201109	2015-06-21 19:00:00	82	93
101201109	2015-06-22 19:00:00	76	93
101201109	2015-06-23 19:00:00	86	99
101201109	2015-06-24 19:00:00	90	99
101201109	2015-06-25 19:00:00	92	99
101201109	2015-06-26 19:00:00	87	99
101201109	2015-06-27 19:00:00	89	99
101201109	2015-06-28 19:00:00	89	99
101190901	2015-06-19 19:00:00	61	80
101190901	2015-06-20 19:00:00	72	86
101190901	2015-06-21 19:00:00	58	88
101190901	2015-06-22 19:00:00	66	92
101190901	2015-06-23 19:00:00	72	96
101190901	2015-06-24 19:00:00	97	100
101190901	2015-06-25 19:00:00	90	96
101190901	2015-06-26 19:00:00	83	96
101190901	2015-06-27 19:00:00	88	100
101190901	2015-06-28 19:00:00	83	98
101080909	2015-06-19 19:00:00	56	87
101080909	2015-06-20 19:00:00	56	74
101080909	2015-06-21 19:00:00	49	76
101080909	2015-06-22 19:00:00	54	83
101080909	2015-06-23 19:00:00	59	85
101080909	2015-06-24 19:00:00	61	82
101080909	2015-06-25 19:00:00	56	78
101080909	2015-06-26 19:00:00	56	81
101080909	2015-06-27 19:00:00	59	80
101080909	2015-06-28 19:00:00	55	80
101180603	2015-06-19 19:00:00	60	83
101180603	2015-06-20 19:00:00	72	76
101180603	2015-06-21 19:00:00	79	89
101180603	2015-06-22 19:00:00	73	89
101180603	2015-06-23 19:00:00	88	97
101180603	2015-06-24 19:00:00	89	96
101180603	2015-06-25 19:00:00	88	95
101180603	2015-06-26 19:00:00	89	98
101180603	2015-06-27 19:00:00	97	100
101180603	2015-06-28 19:00:00	97	100
101290409	2015-06-19 19:00:00	83	87
101290409	2015-06-20 19:00:00	68	86
101290409	2015-06-21 19:00:00	77	86
101290409	2015-06-22 19:00:00	75	86
101290409	2015-06-23 19:00:00	66	80
101290409	2015-06-24 19:00:00	67	84
101290409	2015-06-25 19:00:00	74	87
101290409	2015-06-26 19:00:00	73	84
101290409	2015-06-27 19:00:00	70	84
101290409	2015-06-28 19:00:00	67	82
101090917	2015-06-19 19:00:00	51	63
101090917	2015-06-20 19:00:00	39	48
101090917	2015-06-21 19:00:00	36	51
101090917	2015-06-22 19:00:00	38	54
101090917	2015-06-23 19:00:00	48	70
101090917	2015-06-24 19:00:00	59	71
101090917	2015-06-25 19:00:00	52	73
101090917	2015-06-26 19:00:00	59	74
101090917	2015-06-27 19:00:00	54	70
101090917	2015-06-28 19:00:00	53	67
101290302	2015-06-19 19:00:00	60	71
101290302	2015-06-20 19:00:00	58	70
101290302	2015-06-21 19:00:00	55	70
101290302	2015-06-22 19:00:00	54	70
101290302	2015-06-23 19:00:00	51	67
101290302	2015-06-24 19:00:00	52	68
101290302	2015-06-25 19:00:00	59	76
101290302	2015-06-26 19:00:00	64	75
101290302	2015-06-27 19:00:00	62	76
101290302	2015-06-28 19:00:00	59	75
101220201	2015-06-19 19:00:00	61	84
101220201	2015-06-20 19:00:00	71	80
101220201	2015-06-21 19:00:00	70	93
101220201	2015-06-22 19:00:00	70	93
101220201	2015-06-23 19:00:00	83	97
101220201	2015-06-24 19:00:00	98	100
101220201	2015-06-25 19:00:00	93	99
101220201	2015-06-26 19:00:00	90	99
101220201	2015-06-27 19:00:00	99	100
101220201	2015-06-28 19:00:00	92	100
101180905	2015-06-19 19:00:00	57	78
101180905	2015-06-20 19:00:00	76	81
101180905	2015-06-21 19:00:00	64	80
101180905	2015-06-22 19:00:00	65	82
101180905	2015-06-23 19:00:00	84	97
101180905	2015-06-24 19:00:00	82	89
101180905	2015-06-25 19:00:00	77	93
101180905	2015-06-26 19:00:00	75	93
101180905	2015-06-27 19:00:00	78	90
101180905	2015-06-28 19:00:00	76	89
101110105	2015-06-19 19:00:00	49	55
101110105	2015-06-20 19:00:00	85	97
101110105	2015-06-21 19:00:00	74	76
101110105	2015-06-22 19:00:00	58	69
101110105	2015-06-23 19:00:00	86	93
101110105	2015-06-24 19:00:00	83	93
101110105	2015-06-25 19:00:00	70	84
101110105	2015-06-26 19:00:00	66	92
101110105	2015-06-27 19:00:00	73	82
101110105	2015-06-28 19:00:00	68	79
101291105	2015-06-19 19:00:00	89	96
101291105	2015-06-20 19:00:00	86	97
101291105	2015-06-21 19:00:00	80	94
101291105	2015-06-22 19:00:00	81	93
101291105	2015-06-23 19:00:00	81	93
101291105	2015-06-24 19:00:00	84	93
101291105	2015-06-25 19:00:00	84	96
101291105	2015-06-26 19:00:00	89	97
101291105	2015-06-27 19:00:00	91	97
101291105	2015-06-28 19:00:00	91	99
101130610	2015-06-19 21:00:00	54	62
101130610	2015-06-20 21:00:00	47	52
101130610	2015-06-21 21:00:00	48	65
101130610	2015-06-22 21:00:00	54	71
101130610	2015-06-23 21:00:00	53	71
101130610	2015-06-24 21:00:00	52	77
101130610	2015-06-25 21:00:00	58	81
101130610	2015-06-26 21:00:00	64	87
101130610	2015-06-27 21:00:00	72	92
101130610	2015-06-28 21:00:00	72	86
101091007	2015-06-19 19:00:00	52	68
101091007	2015-06-20 19:00:00	41	51
101091007	2015-06-21 19:00:00	36	52
101091007	2015-06-22 19:00:00	37	56
101091007	2015-06-23 19:00:00	50	75
101091007	2015-06-24 19:00:00	56	72
101091007	2015-06-25 19:00:00	54	77
101091007	2015-06-26 19:00:00	59	77
101091007	2015-06-27 19:00:00	56	74
101091007	2015-06-28 19:00:00	54	71
101220704	2015-06-19 19:00:00	59	86
101220704	2015-06-20 19:00:00	63	79
101220704	2015-06-21 19:00:00	55	86
101220704	2015-06-22 19:00:00	61	87
101220704	2015-06-23 19:00:00	74	95
101220704	2015-06-24 19:00:00	93	100
101220704	2015-06-25 19:00:00	86	98
101220704	2015-06-26 19:00:00	79	97
101220704	2015-06-27 19:00:00	87	100
101220704	2015-06-28 19:00:00	82	99
101131304	2015-06-19 21:00:00	16	16
101131304	2015-06-20 21:00:00	12	20
101131304	2015-06-21 21:00:00	22	32
101131304	2015-06-22 21:00:00	28	33
101131304	2015-06-23 21:00:00	26	32
101131304	2015-06-24 21:00:00	39	48
101131304	2015-06-25 21:00:00	48	62
101131304	2015-06-26 21:00:00	56	61
101131304	2015-06-27 21:00:00	45	51
101131304	2015-06-28 21:00:00	33	38
101190605	2015-06-19 19:00:00	67	85
101190605	2015-06-20 19:00:00	71	85
101190605	2015-06-21 19:00:00	74	93
101190605	2015-06-22 19:00:00	74	95
101190605	2015-06-23 19:00:00	77	91
101190605	2015-06-24 19:00:00	88	100
101190605	2015-06-25 19:00:00	89	98
101190605	2015-06-26 19:00:00	82	99
101190605	2015-06-27 19:00:00	95	100
101190605	2015-06-28 19:00:00	91	100
101190805	2015-06-19 19:00:00	59	86
101190805	2015-06-20 19:00:00	63	79
101190805	2015-06-21 19:00:00	55	86
101190805	2015-06-22 19:00:00	61	87
101190805	2015-06-23 19:00:00	74	95
101190805	2015-06-24 19:00:00	93	100
101190805	2015-06-25 19:00:00	86	98
101190805	2015-06-26 19:00:00	79	97
101190805	2015-06-27 19:00:00	87	100
101190805	2015-06-28 19:00:00	82	99
101120703	2015-06-19 19:00:00	60	87
